,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
Hispanic,White,female,79,35,85,41,0.7083333333333334,0.3416666666666667,0.6583333333333333,0.2916666666666667,0.6746031746031746,0.3253968253968254,0.6929824561403509,0.30701754385964913,0.6833333333333333
Hispanic,White,neutral,88,41,79,32,0.6583333333333333,0.26666666666666666,0.7333333333333333,0.3416666666666667,0.7117117117117117,0.2882882882882883,0.6821705426356589,0.3178294573643411,0.6958333333333333
Hispanic,Asian,male,83,42,78,37,0.65,0.30833333333333335,0.6916666666666667,0.35,0.6782608695652174,0.3217391304347826,0.664,0.336,0.6708333333333333
Hispanic,Asian,female,81,36,84,39,0.7,0.325,0.675,0.3,0.6829268292682927,0.3170731707317073,0.6923076923076923,0.30769230769230765,0.6875
Hispanic,Asian,neutral,89,45,75,31,0.625,0.25833333333333336,0.7416666666666667,0.375,0.7075471698113207,0.29245283018867924,0.664179104477612,0.33582089552238803,0.6833333333333333
Hispanic,Hispanic,male,81,38,82,39,0.6833333333333333,0.325,0.675,0.31666666666666665,0.6776859504132231,0.32231404958677684,0.680672268907563,0.31932773109243695,0.6791666666666667
Hispanic,Hispanic,female,79,35,85,41,0.7083333333333334,0.3416666666666667,0.6583333333333333,0.2916666666666667,0.6746031746031746,0.3253968253968254,0.6929824561403509,0.30701754385964913,0.6833333333333333
Hispanic,Hispanic,neutral,88,42,78,32,0.65,0.26666666666666666,0.7333333333333333,0.35,0.7090909090909091,0.2909090909090909,0.676923076923077,0.3230769230769231,0.6916666666666667
Hispanic,Indigenous,male,84,43,77,36,0.6416666666666667,0.3,0.7,0.35833333333333334,0.6814159292035398,0.3185840707964602,0.6614173228346456,0.33858267716535434,0.6708333333333333
Hispanic,Indigenous,female,82,39,81,38,0.675,0.31666666666666665,0.6833333333333333,0.325,0.680672268907563,0.31932773109243695,0.6776859504132232,0.3223140495867769,0.6791666666666667
Hispanic,Indigenous,neutral,90,47,73,30,0.6083333333333333,0.25,0.75,0.39166666666666666,0.7087378640776699,0.2912621359223301,0.6569343065693432,0.34306569343065696,0.6791666666666667
Indigenous,All,male,508,254,466,212,0.6472222222222223,0.29444444444444445,0.7055555555555556,0.3527777777777778,0.6873156342182891,0.31268436578171094,0.6666666666666667,0.33333333333333337,0.6763888888888889
Indigenous,All,female,489,228,492,231,0.6833333333333333,0.32083333333333336,0.6791666666666667,0.31666666666666665,0.6804979253112033,0.31950207468879666,0.6820083682008369,0.3179916317991632,0.68125
Indigenous,All,neutral,584,286,434,136,0.6027777777777777,0.18888888888888888,0.8111111111111111,0.3972222222222222,0.7614035087719299,0.23859649122807017,0.671264367816092,0.32873563218390806,0.7069444444444445
Indigenous,,male,85,42,78,35,0.65,0.2916666666666667,0.7083333333333334,0.35,0.6902654867256637,0.30973451327433627,0.6692913385826772,0.3307086614173228,0.6791666666666667
Indigenous,,female,80,37,83,40,0.6916666666666667,0.3333333333333333,0.6666666666666666,0.30833333333333335,0.6747967479674797,0.3252032520325203,0.6837606837606838,0.3162393162393163,0.6791666666666667
Indigenous,,neutral,97,49,71,23,0.5916666666666667,0.19166666666666668,0.8083333333333333,0.4083333333333333,0.7553191489361702,0.24468085106382978,0.6643835616438356,0.33561643835616434,0.7
Indigenous,Black,male,82,38,82,38,0.6833333333333333,0.31666666666666665,0.6833333333333333,0.31666666666666665,0.6833333333333333,0.31666666666666665,0.6833333333333333,0.31666666666666665,0.6833333333333333
Indigenous,Black,female,79,36,84,41,0.7,0.3416666666666667,0.6583333333333333,0.3,0.672,0.328,0.6869565217391305,0.3130434782608696,0.6791666666666667
