,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
Black,Indigenous,male,86,46,74,34,0.6166666666666667,0.2833333333333333,0.7166666666666667,0.38333333333333336,0.6851851851851852,0.3148148148148148,0.6515151515151515,0.34848484848484845,0.6666666666666666
Black,Indigenous,female,69,29,91,51,0.7583333333333333,0.425,0.575,0.24166666666666667,0.6408450704225352,0.3591549295774648,0.7040816326530612,0.29591836734693877,0.6666666666666666
Black,Indigenous,neutral,76,33,87,44,0.725,0.36666666666666664,0.6333333333333333,0.275,0.6641221374045801,0.33587786259541985,0.6972477064220183,0.30275229357798167,0.6791666666666667
White,All,male,461,227,493,259,0.6847222222222222,0.3597222222222222,0.6402777777777777,0.31527777777777777,0.6555851063829787,0.34441489361702127,0.6700581395348837,0.3299418604651163,0.6625
White,All,female,375,155,565,345,0.7847222222222222,0.4791666666666667,0.5208333333333334,0.2152777777777778,0.6208791208791209,0.3791208791208791,0.7075471698113207,0.29245283018867924,0.6527777777777778
White,All,neutral,412,180,540,308,0.75,0.42777777777777776,0.5722222222222222,0.25,0.6367924528301887,0.3632075471698113,0.6959459459459459,0.30405405405405406,0.6611111111111111
White,,male,76,39,81,44,0.675,0.36666666666666664,0.6333333333333333,0.325,0.648,0.352,0.6608695652173914,0.33913043478260874,0.6541666666666667
White,,female,66,26,94,54,0.7833333333333333,0.45,0.55,0.21666666666666667,0.6351351351351351,0.36486486486486486,0.717391304347826,0.2826086956521739,0.6666666666666666
White,,neutral,71,30,90,49,0.75,0.4083333333333333,0.5916666666666667,0.25,0.6474820143884892,0.35251798561151076,0.7029702970297029,0.297029702970297,0.6708333333333333
White,Black,male,78,37,83,42,0.6916666666666667,0.35,0.65,0.30833333333333335,0.664,0.336,0.6782608695652174,0.32173913043478264,0.6708333333333333
White,Black,female,63,26,94,57,0.7833333333333333,0.475,0.525,0.21666666666666667,0.6225165562913907,0.37748344370860926,0.7078651685393258,0.29213483146067415,0.6541666666666667
White,Black,neutral,70,29,91,50,0.7583333333333333,0.4166666666666667,0.5833333333333334,0.24166666666666667,0.6453900709219859,0.3546099290780142,0.7070707070707071,0.29292929292929293,0.6708333333333333
White,White,male,75,37,83,45,0.6916666666666667,0.375,0.625,0.30833333333333335,0.6484375,0.3515625,0.6696428571428571,0.33035714285714285,0.6583333333333333
White,White,female,60,26,94,60,0.7833333333333333,0.5,0.5,0.21666666666666667,0.6103896103896104,0.38961038961038963,0.6976744186046512,0.3023255813953488,0.6416666666666667
White,White,neutral,68,30,90,52,0.75,0.43333333333333335,0.5666666666666667,0.25,0.6338028169014085,0.36619718309859156,0.6938775510204082,0.30612244897959184,0.6583333333333333
White,Asian,male,74,34,86,46,0.7166666666666667,0.38333333333333336,0.6166666666666667,0.2833333333333333,0.6515151515151515,0.3484848484848485,0.6851851851851852,0.3148148148148148,0.6666666666666666
White,Asian,female,54,24,96,66,0.8,0.55,0.45,0.2,0.5925925925925926,0.4074074074074074,0.6923076923076923,0.3076923076923077,0.625
White,Asian,neutral,60,28,92,60,0.7666666666666667,0.5,0.5,0.23333333333333334,0.6052631578947368,0.39473684210526316,0.6818181818181818,0.3181818181818182,0.6333333333333333
White,Hispanic,male,78,40,80,42,0.6666666666666666,0.35,0.65,0.3333333333333333,0.6557377049180327,0.3442622950819672,0.6610169491525424,0.3389830508474576,0.6583333333333333
White,Hispanic,female,66,26,94,54,0.7833333333333333,0.45,0.55,0.21666666666666667,0.6351351351351351,0.36486486486486486,0.717391304347826,0.2826086956521739,0.6666666666666666
White,Hispanic,neutral,71,31,89,49,0.7416666666666667,0.4083333333333333,0.5916666666666667,0.25833333333333336,0.644927536231884,0.35507246376811596,0.696078431372549,0.30392156862745096,0.6666666666666666
White,Indigenous,male,80,40,80,40,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
White,Indigenous,female,66,27,93,54,0.775,0.45,0.55,0.225,0.6326530612244898,0.3673469387755102,0.7096774193548387,0.2903225806451613,0.6625
White,Indigenous,neutral,72,32,88,48,0.7333333333333333,0.4,0.6,0.26666666666666666,0.6470588235294118,0.35294117647058826,0.6923076923076923,0.30769230769230765,0.6666666666666666
Asian,All,male,461,224,496,259,0.6888888888888889,0.3597222222222222,0.6402777777777777,0.3111111111111111,0.6569536423841059,0.343046357615894,0.672992700729927,0.327007299270073,0.6645833333333333
Asian,All,female,357,146,574,363,0.7972222222222223,0.5041666666666667,0.49583333333333335,0.20277777777777778,0.6125933831376734,0.3874066168623266,0.7097415506958251,0.290258449304175,0.6465277777777778
Asian,All,neutral,390,171,549,330,0.7625,0.4583333333333333,0.5416666666666666,0.2375,0.6245733788395904,0.37542662116040953,0.6951871657754011,0.304812834224599,0.6520833333333333
Asian,,male,78,39,81,42,0.675,0.35,0.65,0.325,0.6585365853658537,0.34146341463414637,0.6666666666666666,0.3333333333333333,0.6625
Asian,,female,63,25,95,57,0.7916666666666666,0.475,0.525,0.20833333333333334,0.625,0.375,0.7159090909090908,0.28409090909090906,0.6583333333333333
