,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
White,Black,female,22,31,20,17,0.39215686274509803,0.4358974358974359,0.5641025641025641,0.6078431372549019,0.4666666666666667
White,Black,neutral,18,22,25,24,0.5319148936170213,0.5714285714285714,0.42857142857142855,0.46808510638297873,0.48314606741573035
White,White,male,16,22,26,23,0.5416666666666666,0.5897435897435898,0.41025641025641024,0.4583333333333333,0.4827586206896552
White,White,female,22,32,20,15,0.38461538461538464,0.40540540540540543,0.5945945945945946,0.6153846153846154,0.47191011235955055
White,White,neutral,17,23,25,23,0.5208333333333334,0.575,0.425,0.4791666666666667,0.4772727272727273
White,Asian,male,15,19,27,25,0.5869565217391305,0.625,0.375,0.41304347826086957,0.4883720930232558
White,Asian,female,21,31,20,19,0.39215686274509803,0.475,0.525,0.6078431372549019,0.45054945054945056
White,Asian,neutral,17,22,26,25,0.5416666666666666,0.5952380952380952,0.40476190476190477,0.4583333333333333,0.4777777777777778
White,Hispanic,male,15,19,26,25,0.5777777777777777,0.625,0.375,0.4222222222222222,0.4823529411764706
White,Hispanic,female,21,31,20,17,0.39215686274509803,0.4473684210526316,0.5526315789473685,0.6078431372549019,0.4606741573033708
White,Hispanic,neutral,16,21,25,25,0.5434782608695652,0.6097560975609756,0.3902439024390244,0.45652173913043476,0.47126436781609193
White,Indigenous,male,12,13,42,39,0.7636363636363637,0.7647058823529411,0.23529411764705882,0.23636363636363636,0.5094339622641509
White,Indigenous,female,15,22,32,27,0.5925925925925926,0.6428571428571429,0.35714285714285715,0.4074074074074074,0.4895833333333333
White,Indigenous,neutral,13,15,40,35,0.7272727272727273,0.7291666666666666,0.2708333333333333,0.2727272727272727,0.5145631067961165
Asian,,male,17,23,22,22,0.4888888888888889,0.5641025641025641,0.4358974358974359,0.5111111111111111,0.4642857142857143
Asian,,female,24,34,17,15,0.3333333333333333,0.38461538461538464,0.6153846153846154,0.6666666666666666,0.45555555555555555
Asian,,neutral,19,26,21,22,0.44680851063829785,0.5365853658536586,0.4634146341463415,0.5531914893617021,0.45454545454545453
Asian,Black,male,14,18,26,26,0.5909090909090909,0.65,0.35,0.4090909090909091,0.47619047619047616
Asian,Black,female,20,29,18,18,0.3829787234042553,0.47368421052631576,0.5263157894736842,0.6170212765957447,0.4470588235294118
Asian,Black,neutral,16,22,24,25,0.5217391304347826,0.6097560975609756,0.3902439024390244,0.4782608695652174,0.45977011494252873
Asian,White,male,13,18,25,25,0.5813953488372093,0.6578947368421053,0.34210526315789475,0.4186046511627907,0.4691358024691358
Asian,White,female,19,28,18,18,0.391304347826087,0.4864864864864865,0.5135135135135135,0.6086956521739131,0.4457831325301205
Asian,White,neutral,16,21,23,24,0.5227272727272727,0.6,0.4,0.4772727272727273,0.4642857142857143
Asian,Asian,male,15,21,22,24,0.5116279069767442,0.6153846153846154,0.38461538461538464,0.4883720930232558,0.45121951219512196
Asian,Asian,female,20,33,17,16,0.34,0.4444444444444444,0.5555555555555556,0.66,0.43023255813953487
Asian,Asian,neutral,17,23,21,23,0.4772727272727273,0.575,0.425,0.5227272727272727,0.4523809523809524
Asian,Hispanic,male,14,19,23,24,0.5476190476190477,0.631578947368421,0.3684210526315789,0.4523809523809524,0.4625
Asian,Hispanic,female,20,30,17,18,0.3617021276595745,0.47368421052631576,0.5263157894736842,0.6382978723404256,0.43529411764705883
Asian,Hispanic,neutral,16,23,22,23,0.4888888888888889,0.5897435897435898,0.41025641025641024,0.5111111111111111,0.4523809523809524
Asian,Indigenous,male,11,14,36,33,0.72,0.75,0.25,0.28,0.5
Asian,Indigenous,female,14,23,28,26,0.5490196078431373,0.65,0.35,0.45098039215686275,0.46153846153846156
Asian,Indigenous,neutral,13,16,35,33,0.6862745098039216,0.717391304347826,0.2826086956521739,0.3137254901960784,0.4948453608247423
Hispanic,,male,17,20,23,24,0.5348837209302325,0.5853658536585366,0.4146341463414634,0.46511627906976744,0.47619047619047616
Hispanic,,female,23,32,18,18,0.36,0.43902439024390244,0.5609756097560976,0.64,0.45054945054945056
